en_claim,label
Can masks reduce corona infections when worn by a large proportion of the population?,0
Can homeopathic preparations with Anamirta cocculus help against dizziness?,1
Can zeolite alleviate or prevent health problems?,1
Does paxlovid protect unvaccinated people with risk factors from severe or even fatal covid 19 disease?,0
"Does starting school later improve health, learning success, and quality of life in adolescents?",1
Does the F.X. Mayr cure have health benefits? Can it prevent diseases or treat them?,1
Does the consumption of soy foods or soy isoflavones affect the appearance of acne skin?,1
Does extract from the Damiana plant (Turnera diffusa) help with erectile dysfunction?,1
Is the homeopathic remedy Neradin effective for erectile dysfunction?,1
Does regular HPV testing in addition to the recommended Pap smear detect more precancerous lesions than just the Pap smear alone?,0
Can monk's pepper reduce PMS symptoms? PMS is the abbreviation for premenstrual syndrome. This refers to complaints that occur in the days before menstruation.,0
Can olive leaf extract reduce high blood pressure?,1
Do green-lipped mussel preparations improve the symptoms of osteoarthritis?,1
Can probiotics lower blood sugar in type 2 diabetes?,0
Can the so-called Tupler technique help against rectus diastasis?,1
Can CBD (cannabidiol) help with migraines or other headaches?,1
Can laser irradiation of blood by infusion needle (hemolaser treatment) relieve discomfort or help with diseases?,1
"In everyday life, when breathing with an FFP2 mask or ordinary mouth-nose protection, do you get as much oxygen as without a mask?",0
Can CBD help with period pain?,1
"Can a bioresonance device like ""Bioscan"" or ""Vieva Vital Analyser"" measure mineral and vitamin deficiencies or detect health problems?",2
Does arthroscopy (joint endoscopy) help with osteoarthritis of the knee joint?,2
"Do dietary supplements containing silicon (e.g. as ""organic silicon"" or silica) have health benefits?",1
Can regular intake of cranberry juice or cranberry extract prevent recurrent cystitis in women?,0
Will women who have recurrent bladder infections get rid of them faster if they take cranberry products only after the disease is already there???,1
Can extract from St. John's wort relieve the symptoms of depression? Is it similarly effective as drugs against depression (antidepressants)?,0
"Does the Zisano bracelet strengthen the immune system, increase endurance and performance or reduce fatigue?",1
"Does microimmunotherapy improve symptoms of allergies, cancer, joint inflammation, autoimmune diseases, dementia or various viral infections?",1
Can ginkgo extract improve mental performance in dementia patients?,0
Does pine wood improve sleep?,1
Do spermidine supplements or a spermidine-rich diet reduce the risk of Alzheimer's disease and other forms of dementia? Do they help with existing dementia?,1
Do green-lipped mussel preparations improve the symptoms of rheumatoid arthritis?,1
Does covid vaccination reduce the likelihood of getting long-lasting symptoms (long covid) in case of corona infection?,0
Can the preventive intake of lysine prevent cold sores (lip herpes) and genital herpes? Can lysine help when the blisters are already there?,1
"Do hormonal contraceptives to swallow (the ""pill"") affect endurance performance in women?",0
Does the pill affect the muscle strength of women??,2
Does whole-body cryotherapy in the cold chamber improve health?,1
Does transcranial pulse stimulation (TPS) improve mental performance in people with Alzheimer's dementia? Can the treatment improve the quality of life of those affected?,1
Can low-level laser therapy reduce pain from knee or hip osteoarthritis?,1
Can low-level laser therapy reduce wrist osteoarthritis pain?,2
Does blood type affect the likelihood that Covid 19 disease will take a severe course or lead to death?,1
"Do mouth rinses with hydroxyapatite, for example the products ""Linola sept mouth rinse"" and ""Karex Abwehr"", protect against SARS-CoV-2 infection?",1
Does CBD (cannabidiol) relieve symptoms of mild to moderate covid-19 disease?,2
Does CBD or cannabis use protect against covid-19 disease???,1
Do sedatives and sleeping pills such as benzodiazepines and related substances increase the risk of Alzheimer's disease or other forms of dementia?,1
"Does taking polyunsaturated fatty acids, such as omega-3 and omega-6, reduce ADHD symptoms in children?",2
Do infusions of vitamin C relieve symptoms of chronic fatigue or long covid?,1
Does taking probiotics shorten the duration of acute infectious diarrhea?,2
Does high-dose vitamin D slow down the course of disease in multiple sclerosis (MS)?,1
Does taking taiga root extract strengthen the immune system? Can it make vaccinations more effective or tolerable?,1
"Can ozone therapy, in which autologous blood is treated with ozone and recycled, favorably influence the course of COVID-19 disease?",1
Does dimenhydrinate relieve travel nausea better than a placebo?,1
Does dimenhydrinate relieve travel nausea as well as the proven drug scopolamine???,1
Does short-term fasting improve quality of life in cancer?,1
Does short-term fasting reduce the side effects of chemotherapy for cancer???,1
Are extracts of Artemisa annua (annual mugwort) or the active ingredient artemisinin obtained from it effective against coronavirus?,1
Can zinc mitigate the progression of Covid-19?,2
Does zinc preventively protect against covid-19 disease???,1
Does a cold spray with trypsin protect against colds or covid-19? Does the spray reduce symptoms and duration of illness?,1
"Does injecting low-dose Corona vaccine into the skin (mesotherapy vaccination, microvaccination) protect against Covid-19 as well as proven full-dose vaccination into muscle?",1
Do herbal remedies with nasturtium and horseradish (Kren) prevent recurrent cystitis?,2
Do herbal remedies with nasturtium and horseradish alleviate the symptoms of cystitis as well as an antibiotic???,1
Does mistletoe therapy help against cancer or can it improve the quality of life of cancer patients?,1
Can homeopathic remedies prevent colds in children?,2
Can homeopathic remedies relieve colds in children??,2
Do agents containing uridine and/or cytidine improve the symptoms of polyneuropathy?,1
Can treatments with ultrasound relieve the pain of osteoarthritis?,1
Does regular exercise reduce the severity and duration of colds and other respiratory infections?,0
Can regular exercise prevent you from getting a cold or other respiratory infections???,2
"Can cold showers, cold baths or cold water treading according to Kneipp prevent colds and respiratory infections in adults?",1
"Can the Wim Hof method - consisting of breathing training, meditation and acclimatization to cold - strengthen the immune system of healthy people and thus prevent infectious diseases?",1
Do saw palmetto preparations improve the symptoms of benign enlarged prostate (benign prostatic hyperplasia) in the longer term compared to placebo?,2
Does honey help against acute cough in children?,0
Can Artemisia tea cure malaria as well as drugs?,1
Does thyme help against cough?,1
Does coenzyme Q10 relieve muscle discomfort during treatment with statins?,1
Does Chaga mushroom help against cancer or other diseases?,1
"Can filtering out blue light using blue filter glasses or night mode settings on smartphone, tablet or laptop screens have a beneficial effect on sleep?",2
Is strophanthin an effective cardiovascular drug?,1
Can regular intake of vitamin C prevent colds?,2
Can taking vitamin C after the onset of a cold relieve symptoms or shorten the illness?,2
Do saline nasal rinses and nasal sprays or inhaling with steam from saline solution help with colds?,1
Do remedies with ginseng help with erectile dysfunction?,2
Can taking spermidine prolong life? Can it prevent diseases?,1
Can capsules or tablets with lactase improve the symptoms of lactose intolerance and make dairy products more tolerable?,0
Can weighted blankets help with sleep disorders?,1
Does the drug remdesivir prevent COVID-19 deaths?,2
Does magnetic resonance therapy improve complaints of knee osteoarthritis or herniated discs (e.g. pain)?,2
Are oral zinc supplements effective for treating a cold (chill)?,0
Do oral zinc supplements prevent a cold???,1
Is colloidal gold good for health?,1
Do probiotics alleviate the symptoms of irritable bowel syndrome?,0
Do you get a stomach ache if you eat cherries or other stone fruit and then drink water?,1
Can acoustic CR Â® neuromodulation according to Tass help with tinnitus?,1
Is ivermectin an effective drug for treating covid 19 disease?,2
Does ivermectin lower the risk of death in covid-19?,1
Can green tea protect against coronavirus infection or help treat covid-19?,1
Does vitamin D alleviate autism symptoms in children?,1
Does glutathione improve the tolerability of chemotherapy for cancer?,1
Does carnosine relieve autism symptoms in children?,2
Can echinacea protect against Sars-CoV-2 infection or help treat covid-19?,1
"Does amygdalin, the toxin from the seeds of apricots and other stone fruits, help against cancer?",1
Can ginkgo extract relieve the symptoms of tinnitus?,2
Do remedies with ginkgo help against tinnitus in people with dementia?,1
Does garlic protect against corona infections?,1
Does garlic protect against a cold (chill)??,1
Do dietary supplements with magnesium and/or zinc improve symptoms in children with ADHD?,1
"Does a nasal spray with carrageenan from red algae relieve discomfort from a cold (""chill"")?",2
Does a nasal spray with carrageenan from red algae prevent colds?,1
"Can the ""Miracle Mineral Supplement"" MMS (sodium chlorite) cure diseases or alleviate ailments?",1
Does MMS help with an infection with the coronavirus (Covid-19)?,1
"Does colloidal silver (""silver water"") work against infection with the coronavirus or other pathogens? Does it have any other health benefits?",1
Is whole-body vibration therapy effective in preventing bone fractures in osteoporosis sufferers?,1
Does regular gargling with antimicrobial mouthwashes protect against contracting coronavirus? Does it help get better faster if you have Covid 19 disease?,1
Can inhalation with budesonide spray relieve symptoms of covid-19?,0
"Can budesonide spray inhalation for covid-19 reduce the risk of hospitalization, severe or even fatal outcome?",1
Does a nasal spray with carrageenan from red algae prevent infection with coronavirus? Can it alleviate a covid 19 disease that has already broken out?,1
"Does the product ""BestProvita Diabetin"" improve blood glucose levels in type 2 diabetes or does it prevent secondary diseases?",1
Do blueberries improve blood sugar levels in type 2 diabetes or do they prevent secondary diseases?,1
Do self-performed nasal drill tests in symptom-free individuals detect coronavirus infection as reliably as professionally performed rapid tests using swabs from the nasopharynx?,1
Are rapid antigen tests as reliable as slower PCR tests? Does a negative (inconspicuous) rapid test result reliably exclude an infection with the coronavirus?,2
Does CBD help with sleep disorders?,1
Are heavy (ex-)smokers less likely to die of lung cancer if they regularly participate in lung cancer screening by computed tomography (CT)?,0
Can lung cancer screening by computed tomography (CT) also do harm???,0
Does hydroxychloroquine reduce the likelihood of dying from covid-19 disease?,2
Does hydroxychloroquine prevent covid-19 infection???,2
Do preparations containing rockrose have a preventive or soothing effect on colds (chills) and other upper respiratory tract infections? Can they protect against infections with the coronavirus?,1
"Can Medistus Antivirus Lozenges protect against colds, flu, covid-19, or other respiratory infections?",1
Does Spirulina help with obesity?,1
Does spirulina have a health-promoting effect???,1
Does gargling with hydrogen peroxide (H2O2) help against coronavirus or others in throat infections?,1
Does gargling with hydrogen peroxide have health risks?,1
Can vitamin C prevent infection with coronavirus or prevent deaths from covid-19?,1
Does vitamin D prevent covid-19 disease? Does vitamin D mitigate the course of Covid 19 disease?,1
Is plasma therapy for covid-19 effective in preventing deaths?,1
Does treatment with cortisone-like drugs such as dexamethasone ensure that more critically ill patients survive Covid 19 disease?,0
Can contact with holy water make you sick?,1
Can Echinacea protect against colds?,0
Can echinacea relieve the discomfort of colds???,1
Does taking LaVita promote health or physical and mental performance? (Reader inquiry),1
"Do dental care products with nanoparticles of hydroxyapatite help pain-sensitive teeth? And can they prevent caries or repair already affected, decayed tooth enamel?",1
Can light therapy with light lamps relieve the symptoms of autumn-winter depression?,0
Does vitamin B3 protect against severe covid-19 events?,1
Does taking coenzyme Q10 improve movement disorders in Parkinson's disease?,2
Does treatment with focused high-intensity ultrasound (HIFU) reduce abdominal girth?,0
Does sugar substitution increase the risk of developing or dying from cancer?,1
Does ozonated vegetable oil help against athlete's foot or nail fungus?,1
Does ozonated vegetable oil help against vaginal fungus??,1
Are health checks of symptom-free individuals (screening) effective in containing the pandemic?,1
Does melatonin help against jet lag?,0
Does sunscreen reduce the likelihood of skin cancer?,1
Are international travel restrictions and border health checks effective in curbing the spread of covid-19?,0
Does hypnosis help with smoking cessation?,1
Does denosumab (Prolia) reduce the risk of vertebral fractures in osteoporosis?,0
Does discontinuation of denosumab increase the risk of vertebral fractures???,1
Does taking magnesium improve the symptoms of depression?,1
Does focused ultrasound (HIFU) treatment reduce wrinkles and sagging of the skin?,1
Does a ketogenic diet help against cancer?,1
Do curd compresses have an analgesic effect (e.g. for muscle and joint pain)? Do they have an antipyretic effect? Do curd compresses help breastfeeding women with lactation congestion?,1
Does deuterium-reduced water prevent cancer?,1
Does deuterium-reduced water improve disease progression in cancer???,1
Can a special mattress relieve nighttime rheumatism symptoms and thus improve sleep?,1
Do people with blood group AB have a higher risk of developing dementia?,2
Does therapeutic dancing help people with Parkinson's improve their movement problems?,0
Is it possible to reliably detect coronavirus infection based only on symptoms but without laboratory testing?,2
Are home coronavirus self-tests as reliable as tests performed by trained healthcare professionals?,1
Does biotin help with hair loss? Does biotin make hair grow faster?,1
Can induction of labor prevent infant deaths in pregnancies that go beyond the estimated due date? Does it reduce the number of neonatal intensive care unit stays?,0
Does induction of labor make cesarean sections less necessary than observational waiting?,0
Does the number of deliveries with a vacuum cup and forceps remain similar with induction and observational waiting???,0
"Does taking supplements with omega-3 fatty acids reduce the risk of heart attack, stroke or other sudden cardiovascular problems?  Does it lower the risk of dying prematurely?",2
"Can taking dietary supplements with omega-3 fatty acids prevent further heart attacks or strokes if one has already had a heart attack?  In this case, does it lower the risk of dying prematurely??",2
Can cosmetic products with caffeine for hair and scalp help against hereditary hair loss?,1
Is music therapy with rhythmic training helpful for people with Parkinson's who have trouble walking?,0
Do preparations with unsaponifiable components of avocado and soybean oils (ASU) help against limitations and pain in osteoarthritis of the knee joint?,0
Do preparations with unsaponifiable components of avocado and soybean oils (ASU) help against limitations and pain in osteoarthritis of the hip joint?,2
Is it safe to take preparations containing unsaponifiable components of avocado and soybean oils (ASU)?,0
Can taking chondroitin relieve osteoarthritis pain or improve mobility in the long term?,2
Does taking arginine benefit existing cardiovascular disease or does arginine prevent it from developing?,1
"Does ""Detoxic"" work against tapeworms and other parasites? Does ""Detoxic"" help with health complaints?",1
Is mannose as good as or better than antibiotics for preventing recurrent cystitis?,1
Does taking vitamin K lower the risk of spinal fractures in older women?,2
Does taking vitamin K lower the risk of other bone fractures in older women?,0
Does Smartsleep provide better or more restful sleep?,1
"Can supplemental tryptophan, taken as a dietary supplement or with food, help with depression?",1
Can Neuro-Socks relieve pain or improve balance and stability?,1
"Does taking blood pressure medication in the evening prevent more heart attacks, strokes, and other acute cardiovascular diseases?",1
"In Covid-19, do nicotine or smoking have a protective effect, i.e., do they prevent severe progression or death?",1
Can red mold rice products lower blood cholesterol levels?,0
Do products made from red mold rice have fewer side effects than cholesterol-lowering drugs called statins???,2
Can disinfectants containing highly diluted sodium hypochlorite (below 0.1%) render corona and other viruses harmless and thus protect against infection?,1
Does cat's claw improve joint disease symptoms?,1
Do essential oils protect against corona infections and other viral infections like colds or flu?,1
Do air purifiers help relieve symptoms of allergic asthma?,2
Is special baby water better for infants than tap water?,1
Does platelet-rich plasma therapy (autologous blood therapy) reduce pain in osteoarthritis of the knee joint?,0
Does platelet-rich plasma therapy (autologous blood therapy) reduce pain in osteoarthritis of the hip joint???,2
"Can vitamin D supplements prevent colds, flu, colds, and other viral respiratory illnesses when there is no or only a mild deficiency of vitamin D?",2
Does ACE inhibitors like ramipril increase the risk of lung cancer?,1
"Does propolis have a preventive or soothing effect against infection with coronavirus, colds or flu?",1
Does DAILY administration of HIGH-dose atropine (0.5 - 1%) sustainably inhibit the progression of myopia in children?,2
Does MONTHLY administered HIGH-dose atropine (1%) sustainably inhibit the progression of myopia in children?,0
Does LOW dose atropine (0.05% or less) sustainably inhibit the progression of myopia in children???,1
Is quarantining persons who have had contact with infected persons or who enter from high-risk areas an effective measure to reduce the number of COVID-19 infections and deaths?,0
Can homeopathic globules protect against infection with the novel coronavirus?,1
Does the osteoporosis drug teriparatide increase the risk of bone cancer as a side effect?,1
Can therapy with EMDR (Eye Movement Desensitization and Reprocessing) alleviate the symptoms of people with post-traumatic stress disorder?,0
"Does EMDR work similarly to exposure therapy, another well-studied form of psychotherapy for the symptoms of post-traumatic stress disorder???",0
Does filling with hydrogel help with chronic back pain caused by a worn disc?,1
Does taking hyaluronic acid in capsule form improve the symptoms of knee osteoarthritis?,1
"Does taking chlorella provide better performance, more resilience and does it promote health?",1
Does going to the sauna several times a week prolong men's lives?,0
Does going to the sauna several times a week prolong women's lives???,1
Does the additional offer of HIV self-testing cause more people to take an HIV test?,0
"Can the combination of propolis, xyloglucan, gelatin and hibiscus (product ""Utipro Plus"") relieve the symptoms of cystitis or prevent cystitis?",1
Does PEMF noticeably improve pain in osteoarthritis? Does the method improve mobility and quality of life in sufferers?,1
Does oil pulling promote dental health?,1
Can injecting stem cells into the knee joint relieve pain and limitations associated with osteoarthritis?,1
Can an extract of Desmodium promote liver health or relieve other ailments?,1
Does the balsam apple help against infection with the human immunodeficiency virus (HIV)?,1
Does healing clay with the clay mineral smectite help when children have diarrhea?,0
"Does a herbal combination preparation of rosemary, lovage, and centaury effectively relieve symptoms of uncomplicated cystitis?",0
"Can a herbal combination preparation of rosemary, lovage and centaury prevent recurrent cystitis in women?",1
Can healing clay help with gastritis?,1
Does the Indian spice paste Chyawanprash have a positive effect on adult health?,1
Does ginger work against breast cancer?,1
Can Theta Healing help with physical ailments and mental problems?,1
Does taking Bacopa extract improve memory performance?,2
"Do remedies containing the trifoliate fruit alleviate the symptoms of rheumatoid arthritis (""rheumatism"")?",0
Does thyme strengthen memory or prevent mental decline?,1
"Does regular consumption of chia seeds reduce body weight, blood sugar levels or cholesterol?",2
Do heat patches that heat themselves or heat pads help with pain in the neck?,1
Do heat patches containing capsaicin help with neck pain???,2
Do heat patches help with lower back pain?,0
Does ginger help with period pain?,0
"Can the state of health be assessed as reliably with a ""cell check"" analysis as with other diagnostic tests (for example, blood or urine analyses)?",1
Can pain from osteoarthritis (joint wear) be relieved by arnica ointment or arnica gel?,0
Can pain from a sprained ankle be relieved by arnica ointment or arnica gel?,1
Can sore muscles be relieved by arnica ointment or arnica gel?,2
Can carbon dioxide in mineral water and other sparkling drinks damage teeth or cause tooth decay?,1
"Does bark extract from maritime pine (also: ""pine bark extract"") improve the symptoms of osteoarthritis?",1
"Is brown millet effective in favorably influencing the course of the disease in rheumatism (""rheumatoid arthritis"")?",1
Are cannabis or substances derived from cannabis effective and safe anti-cancer agents?,1
It is not always possible to reduce elevated cholesterol levels to a healthy level with tablets and thus minimize the risk of heart attack or stroke. Does this succeed through additional injections with PCSK9 antibodies?,0
Do vaginal suppositories containing the active ingredient imiquimod cause precancerous stages of cervical cancer to recede or disappear?,0
Is blue light treatment as effective as UV light or other established therapies for psoriasis?,1
Does frequent consumption of potatoes increase the risk of dying from cancer?,2
Can cancer be detected by dark field analysis (dark field microscopy) of the blood?,2
Can dark field analysis indicate other health problems?,1
Does kombucha have a positive effect on health?,1
Is graviola an effective and safe treatment for cancer?,1
Does taking preparations with fenugreek extract improve sex life or satisfaction with it?,1
Does disulfiram improve the effectiveness of chemotherapy for cancer?,1
Can binaural beats relieve stress or anxiety before surgery and medical treatments?,1
Is a vegan diet healthier than a vegetarian diet?,1
Can taking chlorophyll change mouth or body odor?,1
Can taking chlorophyll affect the odor of urine in catheter wearers or stool in people with an artificial bowel outlet?,2
Is the risk of bacterial or fungal infection comparable when using menstrual cups or pads?,0
"Laboratory experiments indicate that leoligin and other substances from edelweiss have a medicinal effect. However, this has not been researched in humans.",1
Can a straight bar improve harmless tension and pain in the neck and back?,1
Are ultrasound examinations during pregnancy safe for the health of the child?,0
Can oregano oil relieve discomfort or disease?,1
Are Bach flower remedies effective in helping with test anxiety?,2
Can capsules with diamine oxidase alleviate or prevent symptoms of histamine intolerance?,1
Does magnesium help with period pain?,1
"Does cannabis improve symptoms of Parkinson's disease, for example movement disorders?",1
Is the dietary supplement nattokinase effective and safe as a blood thinner?,1
"Is the Feldenkrais Method effective against pain and tension in the neck, shoulders and back?",1
Does an alkaline bath help with neurodermatitis?,1
"Does birch water, also called birch sap, help with health problems?",1
Is oolong tea an effective way to lose weight?,1
"Do Waveex and similar products reduce exposure to electromagnetic fields, for example when using a cell phone or smartphone?",1
Can ingredients in deodorants like aluminum salts cause breast cancer?,1
"Does the intake of black cumin improve the symptoms of asthma, e.g. shortness of breath?",1
Do specially trained dogs reliably warn of dangerous hypoglycemia?,1
Does taking proton pump inhibitors (PPI) increase the risk of bone fractures?,0
Can matrix therapy (also: matrix rhythm therapy) alleviate complaints of muscles and joints?,1
Can hyposensitization by injections with allergy-causing pollen components help with hay fever?,0
Can hyposensitization by means of drops or tablets administered under the tongue help with hay fever?,0
Do Blushwood berries help against skin cancer?,1
Can relaxation exercises and a reduction in stress slow the progression of glaucoma?,1
Can dementia be prevented by years of orange juice consumption?,1
Can remedies from papaya improve digestion or relieve gastrointestinal discomfort?,1
"Are kinesiotapes effective for chronic non-specific lower back pain (""low back pain"")?",2
Does early detection of lung cancer by trained sniffer dogs provide significant benefits to those affected?,1
Do snoring sprays or gargle solutions help against snoring?,1
Does Maca help with sexual problems such as erectile dysfunction or sexual aversion in men and women?,1
Can glacier milk powder prevent hangover or relieve hangover symptoms?,1
Can ingredients from pomegranate lower elevated blood pressure or reduce the risk of cardiovascular disease?,1
Does regular consumption of red meat or processed meat products increase the risk of colorectal cancer?,0
Does stool transplantation help with ulcerative colitis?,0
Does stool transplantation help in Crohn's disease???,1
"Can remedies from the iambul tree improve blood glucose control in diabetes or precursors of diabetes (""pre-diabetes"")?",1
Does HPV vaccination reduce the risk of cervical cancer in girls?,0
Is stool transplantation effective against recurrent Clostridium difficile infections ?,0
Does the juice of the aronia berry help against cystitis?,1
Is Intermittent Fasting suitable for reducing excess weight as well as a conventional low calorie diet?,0
"Is the risk for the brain inflammation SSPE as a consequence of measles disease greater than long assumed? That is, out of every 100,000 people infected with measles, does more than one person develop SSPE (subacute sclerosing panencephalitis) later in life?",0
Can acupuncture for labor induction trigger the onset of labor?,2
Can switching to a higher fiber diet prevent colorectal cancer?,2
Can perineal massage during pregnancy help prevent birth injury in first-time mothers?,0
Can cancer be effectively treated with vitamin C infusions?,1
Are detox cures good for health?,1
Do sweeteners increase the risk of type 2 diabetes or sugar metabolism disorders?,1
Does flu vaccination reduce the likelihood of getting the flu (influenza)?,0
Can therapy with the radioactive gas radon noticeably alleviate pain in rheumatism-related joint inflammation (rheumatoid arthritis)?,2
Does frankincense help with painful joint wear (osteoarthritis)?,0
"Does the extract of the plant Salacia reticulata in combination with vitamin D (""Exadipin"") help to lose weight?",1
Does yoga reduce the impairment in everyday life caused by persistent (chronic) back pain?,0
Does yoga alleviate the severity of persistent back pain???,2
Do laughter yoga or laughter therapy have positive health effects?,1
Can a height-adjustable desk reduce sitting time in the office?,0
Does a diet that includes as many organic foods as possible lower the risk of cancer?,1
Does cinnamon lower blood sugar levels in diabetes?,2
Does sitting for long periods shorten the lifespan?,0
Does mammography screening reduce the risk of dying from breast cancer in certain age groups?,0
"Should wisdom teeth that have not or not completely grown out of the jaw and gums be removed as a precaution? Even if the ""impacted"" teeth are not causing any symptoms at the moment and no pathological changes are to be expected immediately?",1
"Do turmeric preparations alleviate the symptoms of knee osteoarthritis (""joint wear"") better than a placebo?",1
"Do turmeric preparations relieve the symptoms of rheumatoid arthritis (""rheumatism"") better than a placebo or painkiller???",1
Does the intake of omega-3 fatty acids improve the clinical picture in multiple sclerosis (MS) or does this inhibit progression of the disease?,2
Does taking vitamin A or following certain diets improve or halt the progression of multiple sclerosis (MS)?,1
Can Botox injections prevent migraine attacks?,0
Does taking probiotics facilitate weight loss to any significant degree?,2
Does the full moon have a negative effect on sleep duration?,2
Can lemon juice prevent or effectively treat gastrointestinal illness caused by norovirus?,1
"For knee osteoarthritis, does rubbing DMSO into the knee bring less pain and more mobility than rubbing a placebo?",2
"In case of osteoarthritis of the knee, does rubbing DMSO bring less pain and more mobility than the recognized painkiller diclofenac???",1
Does taking vitamin D improve symptoms in the most common form of psoriasis?,2
Does taking fish oil with omega-3 fatty acids improve the symptoms of various forms of psoriasis more than a placebo???,2
Does following a Mediterranean diet decrease the likelihood of cardiovascular disease in people at high risk?,0
Does the probability of dying from cardiovascular disease decrease in people who have already had a heart attack?,0
Does Grander water have health benefits compared to untreated drinking water?,1
"Does astaxanthin protect against cardiovascular disease, cancer or prolong life?",1
Do products from the noni fruit promote health?,1
Can spending time at waterfalls on a regular basis provide lasting improvement in asthma symptoms?,1
Does goji help with serious diseases like cancer or prevent heart attacks?,1
Are amla supplements effective and safe in lowering high cholesterol?,1
"Does inhaling hive air have health benefits for asthma, allergies or other conditions?",1
Can chlorinated water from baby swimming cause asthma or allergies later in childhood?,1
Is a lot of sunlight in childhood and adolescence a cause of age-related macular degeneration?,1
Does wearing sunglasses in childhood and adolescence protect against macular degeneration in old age???,1
Does water from jugs with semi-precious stones have a positive health effect?,1
Is calcium from Japanese coral safe and effective in preventing disease?,1
Does the observance of feng shui design rules help against bad sleep?,1
Does taking vitamin C prevent motion sickness?,1
Do Lifewave patches improve health or athletic and mental performance?,1
Are there differences in hair removal effectiveness between IPL and diode laser?,2
Does carbonic acid cause cancer?,2
Does carbonic acid have any health effects on the digestive tract???,1
Does wearing compression stockings on a long-haul flight prevent thrombosis (blood clots) and the associated symptoms?,0
Can extracorporeal shock wave therapy relieve heel pain if the cause is tendonitis or a heel spur?,0
Does an extract from the African black bean (active ingredient 5-hydroxytryptophan) help against lovesickness?,1
